v;P
0.597266515;24.862;
0.697266515;4.987;
0.797266515;1.754;
0.897266515;1.464;
0.997266515;1.606;
1.097266515;1.765;
1.197266515;1.897;
1.297266515;2.009;
1.397266515;2.110;
1.497266515;2.202;
1.597266515;2.284;
1.697266515;2.358;
1.797266515;2.422;
1.897266515;2.476;
1.997266515;2.521;
2.097266515;2.557;
2.197266515;2.585;
2.297266515;2.606;
2.397266515;2.621;
2.497266515;2.629;
2.597266515;2.633;
2.697266515;2.632;
2.797266515;2.628;
2.897266515;2.620;
2.997266515;2.610;
3.097266515;2.597;
3.197266515;2.582;
3.297266515;2.565;
3.397266515;2.547;
3.497266515;2.527;
3.597266515;2.507;
3.697266515;2.486;
3.797266515;2.464;
3.897266515;2.441;
3.997266515;2.419;
4.097266515;2.395;
4.197266515;2.372;
4.297266515;2.349;
4.397266515;2.325;
4.497266515;2.302;
4.597266515;2.278;
4.697266515;2.255;
4.797266515;2.232;
4.897266515;2.209;
4.997266515;2.186;
5.097266515;2.164;
5.197266515;2.141;
5.297266515;2.119;
5.397266515;2.097;
5.497266515;2.076;
5.597266515;2.054;
5.697266515;2.033;
5.797266515;2.012;
5.897266515;1.992;
5.997266515;1.972;
6.097266515;1.952;
6.197266515;1.932;
6.297266515;1.913;
6.397266515;1.894;
6.497266515;1.875;
6.597266515;1.857;
6.697266515;1.839;
6.797266515;1.821;
6.897266515;1.804;
6.997266515;1.786;
7.097266515;1.769;
7.197266515;1.753;
7.297266515;1.736;
7.397266515;1.720;
7.497266515;1.704;
7.597266515;1.688;
7.697266515;1.673;
7.797266515;1.658;
7.897266515;1.643;
7.997266515;1.628;
8.097266515;1.614;
8.197266515;1.600;
8.297266515;1.586;
8.397266515;1.572;
8.497266515;1.558;
8.597266515;1.545;
8.697266515;1.532;
8.797266515;1.519;
8.897266515;1.506;
8.997266515;1.494;
9.097266515;1.481;
9.197266515;1.469;
9.297266515;1.457;
9.397266515;1.445;
9.497266515;1.434;
9.597266515;1.422;
9.697266515;1.411;
9.797266515;1.400;
9.897266515;1.389;
9.997266515;1.378;
10.09726651;1.367;
10.19726651;1.357;
10.29726651;1.347;
10.39726651;1.336;
10.49726651;1.326;
10.59726651;1.317;
10.69726651;1.307;
10.79726651;1.297;
10.89726651;1.288;
10.99726651;1.278;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
