V;v;P;v2;P2;v3;
0,3;0,759;4,00;0.000759115;4.00;0.759;
0,5;1,168;2,60;0.00116787;2.60;1.168;
0,7;1,635;2,65;0.001635017;2.65;1.635;
0,9;2,102;2,55;0.002102165;2.55;2.102;
1,1;2,569;2,55;0.002569313;2.55;2.569;
1,3;3,036;2,55;0.003036461;2.55;3.036;
1,5;3,504;2,55;0.003503609;2.55;3.504;
1,7;3,971;2,55;0.003970757;2.55;3.971;
1,9;4,438;2,52;0.004437904;2.52;4.438;
2,1;4,905;2,44;0.004905052;2.44;4.905;
2,3;5,372;2,30;0.0053722;2.30;5.372;
2,5;5,839;2,20;0.005839348;2.20;5.839;
3,0;7,007;1,98;0.007007217;1.98;7.007;
3,5;8,175;1,78;0.008175087;1.78;8.175;
4,0;9,343;1,58;0.009342957;1.58;9.343;
