v;P
0.697266515;24.493
0.797266515;21.421
0.897266515;19.034
0.997266515;17.125
1.097266515;15.564
1.197266515;14.264
1.297266515;13.165
1.397266515;12.223
1.497266515;11.406
1.597266515;10.692
1.697266515;10.062
1.797266515;9.502
1.897266515;9.002
1.997266515;8.551
2.097266515;8.143
2.197266515;7.773
2.297266515;7.434
2.397266515;7.124
2.497266515;6.839
2.597266515;6.575
2.697266515;6.332
2.797266515;6.105
2.897266515;5.895
2.997266515;5.698
3.097266515;5.514
3.197266515;5.342
3.297266515;5.180
3.397266515;5.027
3.497266515;4.883
3.597266515;4.748
3.697266515;4.619
3.797266515;4.498
3.897266515;4.382
3.997266515;4.272
4.097266515;4.168
4.197266515;4.069
4.297266515;3.974
4.397266515;3.884
4.497266515;3.797
4.597266515;3.715
4.697266515;3.636
4.797266515;3.560
4.897266515;3.487
4.997266515;3.418
5.097266515;3.350
5.197266515;3.286
5.297266515;3.224
5.397266515;3.164
5.497266515;3.107
5.597266515;3.051
5.697266515;2.998
5.797266515;2.946
5.897266515;2.896
5.997266515;2.848
6.097266515;2.801
6.197266515;2.756
6.297266515;2.712
6.397266515;2.670
6.497266515;2.629
6.597266515;2.589
6.697266515;2.550
6.797266515;2.513
6.897266515;2.476
6.997266515;2.441
7.097266515;2.406
7.197266515;2.373
7.297266515;2.340
7.397266515;2.309
7.497266515;2.278
7.597266515;2.248
7.697266515;2.219
7.797266515;2.190
7.897266515;2.163
7.997266515;2.136
8.097266515;2.109
8.197266515;2.083
8.297266515;2.058
8.397266515;2.034
8.497266515;2.010
8.597266515;1.986
8.697266515;1.964
8.797266515;1.941
8.897266515;1.919
8.997266515;1.898
9.097266515;1.877
9.197266515;1.857
9.297266515;1.837
9.397266515;1.817
9.497266515;1.798
9.597266515;1.779
9.697266515;1.761
9.797266515;1.743
9.897266515;1.726
9.997266515;1.708
10.09726651;1.691
10.19726651;1.675
10.29726651;1.659
10.39726651;1.643
10.49726651;1.627
10.59726651;1.612
10.69726651;1.597
10.79726651;1.582
