P_7;v_7;;P_17;v_17;;P_27;v_27;;P_35;v_35;;P_40;v_40;;P_45.58;v_45.58;;P_51;v_51;;P_55;v_55;;P_60;v_60;;P_67;v_67
MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1;;MPa;m3·kg-1
0.100;0.1565020.101;0.1614560.301;0.0547610.101;0.1712620.101;0.1742830.104;0.1724640.101;0.1813470.100;0.1844270.100;0.1875260.106;0.181732
0.304;0.0501360.301;0.0527050.502;0.0321040.301;0.0565520.302;0.0573290.302;0.0584240.299;0.0600300.312;0.0583080.301;0.0615600.302;0.062766
0.503;0.0293630.501;0.0308371.003;0.0149840.503;0.0330540.490;0.0346520.503;0.0343760.506;0.0348710.503;0.0355850.501;0.0363250.502;0.037114
0.701;0.0203530.701;0.0213831.503;0.0091750.703;0.0230810.702;0.0235890.703;0.0241210.700;0.0247320.704;0.0249650.701;0.0255230.699;0.026236
1.002;0.0134111.002;0.0141372.003;0.0061371.004;0.0155581.002;0.0159661.019;0.0160631.005;0.0166861.005;0.0169850.998;0.0174691.001;0.017880
1.261;0.0100031.512;0.0084572.457;0.0041941.503;0.0096561.501;0.0099611.487;0.0103951.502;0.0105581.515;0.0106691.497;0.0110811.500;0.011403
1.506;0.0077721.714;0.0070552.457;0.0007582.004;0.0065992.005;0.0068602.011;0.0071191.998;0.0074332.009;0.0075711.985;0.0079111.986;0.008204
1.506;0.0006641.942;0.0057523.019;0.0007432.505;0.0046372.503;0.0049312.504;0.0052212.508;0.0054552.494;0.0056812.504;0.0058602.466;0.006258
2.011;0.0006591.942;0.0007033.509;0.0007322.705;0.0039892.816;0.0039943.002;0.0038433.005;0.0041102.989;0.0043403.002;0.0045232.968;0.004869
3.025;0.0006522.531;0.0006954.014;0.0007232.913;0.0033263.056;0.0033293.218;0.0033283.215;0.0036393.264;0.0037413.246;0.0039933.393;0.003992
4.019;0.0006453.032;0.0006894.971;0.0007092.963;0.0031523.220;0.0028553.419;0.0028543.372;0.0033093.479;0.0033233.607;0.0033323.800;0.003314
5.005;0.0006394.015;0.0006786.017;0.0006972.963;0.0008273.311;0.0025323.558;0.0025023.600;0.0028513.735;0.0028563.900;0.0028544.130;0.002844
6.030;0.0006345.006;0.0006707.007;0.0006873.168;0.0008133.311;0.0008993.653;0.0022183.772;0.0025033.938;0.0024994.001;0.0026994.399;0.002498
7.020;0.0006296.024;0.0006628.019;0.0006783.505;0.0007953.497;0.0008703.708;0.0019983.903;0.0022224.095;0.0022214.134;0.0024994.633;0.002218
8.018;0.0006257.027;0.0006559.017;0.0006714.005;0.0007764.009;0.0008273.737;0.0018173.994;0.0020014.212;0.0020054.325;0.0022194.831;0.001999
9.028;0.0006218.010;0.00064910.019;0.0006644.508;0.0007624.501;0.0008033.745;0.0017424.062;0.0018154.309;0.0018164.477;0.0019985.004;0.001818
10.028;0.0006179.022;0.00064411.003;0.0006585.009;0.0007505.013;0.0007853.750;0.0016664.109;0.0016634.383;0.0016664.603;0.0018185.154;0.001671
11.024;0.00061310.026;0.00063912.038;0.0006536.014;0.0007326.014;0.0007593.753;0.0016034.145;0.0015384.468;0.0015374.712;0.0016665.304;0.001539
12.022;0.00061011.027;0.000634;7.014;0.0007187.017;0.0007413.754;0.0015404.176;0.0014254.504;0.0014284.810;0.0015375.451;0.001427
;12.021;0.000630;7.996;0.0007068.010;0.0007263.757;0.0011764.204;0.0013324.561;0.0013334.904;0.0014265.598;0.001333
;;;9.023;0.0006969.015;0.0007143.760;0.0011414.236;0.0012494.630;0.0012434.994;0.0013355.757;0.001251
;;;10.015;0.00068810.018;0.0007043.766;0.0011104.277;0.0011764.701;0.0011755.095;0.0012535.944;0.001178
;;;10.034;0.00068810.977;0.0006953.776;0.0010804.336;0.0011104.801;0.0011105.214;0.0011806.176;0.001110
;;;11.035;0.00068012.069;0.0006873.793;0.0010514.423;0.0010524.932;0.0010535.363;0.0011146.452;0.001053
;;;12.050;0.000673;3.855;0.0009994.558;0.0010005.125;0.0010015.563;0.0010546.820;0.001000
;;;;;3.980;0.0009524.770;0.0009525.398;0.0009535.820;0.0010027.289;0.000952
;;;;;4.202;0.0009085.081;0.0009105.805;0.0009096.187;0.0009537.910;0.000909
;;;;;4.560;0.0008695.572;0.0008696.388;0.0008686.676;0.0009098.517;0.000878
;;;;;5.017;0.0008395.990;0.0008457.027;0.0008387.355;0.0008698.997;0.000859
;;;;;5.514;0.0008156.484;0.0008247.517;0.0008218.017;0.00084210.004;0.000828
;;;;;6.020;0.0007986.998;0.0008078.014;0.0008068.515;0.00082511.013;0.000804
;;;;;6.515;0.0007837.513;0.0007928.516;0.0007939.008;0.00081211.989;0.000785
;;;;;7.001;0.0007727.996;0.0007819.015;0.00078210.018;0.000789;
;;;;;7.518;0.0007618.496;0.00077110.002;0.00076411.023;0.000771;
;;;;;8.036;0.0007528.990;0.00076211.002;0.00074912.013;0.000756;
;;;;;8.507;0.00074510.006;0.00074612.049;0.000736;;
;;;;;9.013;0.00073711.000;0.000733;;;
;;;;;10.000;0.00072512.019;0.000722;;;
;;;;;11.010;0.000714;;;;
;;;;;12.040;0.000704;;;;
