v;P
0.597266515;31.692;
0.697266515;11.568;
0.797266515;5.228;
0.897266515;2.956;
0.997266515;2.158;
1.097266515;1.946;
1.197266515;1.973;
1.297266515;2.091;
1.397266515;2.234;
1.497266515;2.375;
1.597266515;2.500;
1.697266515;2.607;
1.797266515;2.695;
1.897266515;2.765;
1.997266515;2.819;
2.097266515;2.859;
2.197266515;2.887;
2.297266515;2.904;
2.397266515;2.914;
2.497266515;2.916;
2.597266515;2.912;
2.697266515;2.903;
2.797266515;2.890;
2.897266515;2.873;
2.997266515;2.854;
3.097266515;2.832;
3.197266515;2.808;
3.297266515;2.783;
3.397266515;2.757;
3.497266515;2.729;
3.597266515;2.701;
3.697266515;2.673;
3.797266515;2.644;
3.897266515;2.615;
3.997266515;2.586;
4.097266515;2.557;
4.197266515;2.528;
4.297266515;2.499;
4.397266515;2.470;
4.497266515;2.442;
4.597266515;2.414;
4.697266515;2.386;
4.797266515;2.358;
4.897266515;2.331;
4.997266515;2.304;
5.097266515;2.278;
5.197266515;2.252;
5.297266515;2.226;
5.397266515;2.201;
5.497266515;2.176;
5.597266515;2.152;
5.697266515;2.128;
5.797266515;2.104;
5.897266515;2.081;
5.997266515;2.059;
6.097266515;2.036;
6.197266515;2.014;
6.297266515;1.993;
6.397266515;1.972;
6.497266515;1.951;
6.597266515;1.930;
6.697266515;1.910;
6.797266515;1.891;
6.897266515;1.871;
6.997266515;1.852;
7.097266515;1.834;
7.197266515;1.815;
7.297266515;1.797;
7.397266515;1.780;
7.497266515;1.762;
7.597266515;1.745;
7.697266515;1.729;
7.797266515;1.712;
7.897266515;1.696;
7.997266515;1.680;
8.097266515;1.665;
8.197266515;1.649;
8.297266515;1.634;
8.397266515;1.619;
8.497266515;1.605;
8.597266515;1.590;
8.697266515;1.576;
8.797266515;1.562;
8.897266515;1.549;
8.997266515;1.535;
9.097266515;1.522;
9.197266515;1.509;
9.297266515;1.496;
9.397266515;1.484;
9.497266515;1.471;
9.597266515;1.459;
9.697266515;1.447;
9.797266515;1.435;
9.897266515;1.424;
9.997266515;1.412;
10.09726651;1.401;
10.19726651;1.390;
10.29726651;1.379;
10.39726651;1.368;
10.49726651;1.358;
10.59726651;1.347;
