v;P
0.597266515;30.175;
0.697266515;10.385;
0.797266515;4.279;
0.897266515;2.176;
0.997266515;1.506;
1.097266515;1.393;
1.197266515;1.497;
1.297266515;1.677;
1.397266515;1.871;
1.497266515;2.054;
1.597266515;2.214;
1.697266515;2.351;
1.797266515;2.464;
1.897266515;2.555;
1.997266515;2.628;
2.097266515;2.684;
2.197266515;2.727;
2.297266515;2.757;
2.397266515;2.777;
2.497266515;2.789;
2.597266515;2.794;
2.697266515;2.793;
2.797266515;2.787;
2.897266515;2.777;
2.997266515;2.764;
3.097266515;2.747;
3.197266515;2.729;
3.297266515;2.708;
3.397266515;2.686;
3.497266515;2.662;
3.597266515;2.638;
3.697266515;2.613;
3.797266515;2.587;
3.897266515;2.560;
3.997266515;2.534;
4.097266515;2.507;
4.197266515;2.480;
4.297266515;2.454;
4.397266515;2.427;
4.497266515;2.400;
4.597266515;2.374;
4.697266515;2.347;
4.797266515;2.321;
4.897266515;2.296;
4.997266515;2.270;
5.097266515;2.245;
5.197266515;2.220;
5.297266515;2.196;
5.397266515;2.172;
5.497266515;2.148;
5.597266515;2.125;
5.697266515;2.102;
5.797266515;2.079;
5.897266515;2.057;
5.997266515;2.035;
6.097266515;2.013;
6.197266515;1.992;
6.297266515;1.971;
6.397266515;1.950;
6.497266515;1.930;
6.597266515;1.911;
6.697266515;1.891;
6.797266515;1.872;
6.897266515;1.853;
6.997266515;1.835;
7.097266515;1.817;
7.197266515;1.799;
7.297266515;1.781;
7.397266515;1.764;
7.497266515;1.747;
7.597266515;1.730;
7.697266515;1.714;
7.797266515;1.698;
7.897266515;1.682;
7.997266515;1.667;
8.097266515;1.651;
8.197266515;1.636;
8.297266515;1.621;
8.397266515;1.607;
8.497266515;1.593;
8.597266515;1.578;
8.697266515;1.565;
8.797266515;1.551;
8.897266515;1.538;
8.997266515;1.524;
9.097266515;1.512;
9.197266515;1.499;
9.297266515;1.486;
9.397266515;1.474;
9.497266515;1.462;
9.597266515;1.450;
9.697266515;1.438;
9.797266515;1.426;
9.897266515;1.415;
9.997266515;1.404;
10.09726651;1.392;
10.19726651;1.382;
10.29726651;1.371;
10.39726651;1.360;
10.49726651;1.350;
10.59726651;1.339;
10.69726651;1.329;
10.79726651;1.319;
10.89726651;1.309;
10.99726651;1.300;
