T;V;P;P2;
301.569;91.853;154.983;154.983;
301.569;91.853;154.983;154.983;
301.569;91.853;154.983;154.983;
302.271;92.014;155.522;154.6034823;
302.271;91.853;154.983;154.983;
301.569;92.014;154.983;154.6034823;
301.569;91.853;154.983;154.983;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
302.271;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.014;154.983;154.6034823;
301.569;92.174;154.983;154.2278975;
301.569;92.335;154.445;153.8515414;
301.219;92.656;153.906;153.1058483;
300.868;93.138;152.828;151.9977208;
300.868;93.941;151.212;150.181866;
300.166;94.905;149.057;148.0505468;
299.465;96.03;146.362;145.628054;
298.412;97.476;143.668;142.612623;
297.36;99.082;140.436;139.3869376;
296.308;100.849;137.742;135.9798357;
295.255;102.135;134.509;133.5888823;
293.852;103.902;131.815;130.4191233;
292.8;105.348;129.659;127.9198477;
291.748;106.794;126.965;125.501568;
291.046;108.24;125.349;123.1606152;
289.643;109.525;123.194;121.1424019;
288.941;110.649;121.577;119.4230768;
288.24;111.613;120.5;117.9815378;
288.24;112.738;119.422;116.3365794;
287.538;113.38;118.344;115.4153872;
287.188;114.184;117.267;114.279253;
286.837;115.148;116.728;112.9420816;
286.837;116.272;115.112;111.416509;
286.135;117.557;114.034;109.7152139;
285.784;118.843;112.417;108.0566994;
285.434;119.807;110.801;106.841426;
285.434;120.771;110.262;105.6493962;
284.732;121.895;108.646;104.2880383;
284.381;123.02;108.107;102.9553063;
284.031;124.466;106.491;101.2846708;
283.329;125.59;104.874;100.017884;
283.329;127.197;103.797;98.25329664;
282.627;128.482;102.18;96.88031517;
282.627;129.767;101.102;95.53989866;
281.926;131.374;99.486;93.90777574;
281.224;132.98;98.408;92.32384573;
281.224;134.587;96.792;90.7842247;
280.523;136.193;95.176;89.28901781;
279.821;138.121;93.559;87.54899138;
279.821;139.888;92.482;86.00468335;
279.12;141.977;90.865;84.23829216;
278.418;143.583;89.249;82.92214243;
278.418;145.19;88.171;81.6400683;
277.717;147.118;87.093;80.14613979;
277.015;148.403;86.555;79.17626196;
277.015;149.849;84.938;78.1086907;
277.015;151.295;83.861;77.06556038;
276.313;152.901;83.322;75.93470159;
275.963;154.508;82.244;74.83131678;
275.612;156.114;81.167;73.75579603;
275.261;157.721;80.089;72.70586001;
274.91;159.488;79.011;71.58063223;
274.56;161.416;77.934;70.38652643;
274.209;163.183;76.856;69.32180597;
274.209;165.432;75.24;68.00602933;
273.507;167.36;74.162;66.91175372;
272.806;169.449;73.623;65.75974681;
272.806;171.216;72.007;64.81158781;
272.104;172.983;71.468;63.88662592;
272.104;174.589;70.39;63.06539472;
271.403;176.357;69.852;62.18203964;
271.403;177.963;68.774;61.39784685;
271.403;179.409;68.774;60.70616961;
271.052;181.016;67.696;59.95301071;
270.701;182.461;67.157;59.28934816;
270.701;184.068;66.619;58.56594237;
270.35;185.675;65.541;57.85753691;
269.999;187.281;65.541;57.16412223;
269.999;188.888;64.463;56.48441448;
269.649;190.815;63.386;55.68743704;
269.298;192.261;63.386;55.10196304;
269.298;193.868;62.308;54.46357745;
269.298;195.474;61.769;53.83815229;
268.947;196.92;61.231;53.28549306;
268.596;198.527;60.692;52.68261634;
268.596;198.527;60.692;;
268.947;198.527;61.231;;
268.947;198.527;61.231;;
269.298;198.687;61.231;;
269.298;198.527;61.231;;
269.298;198.527;61.231;;
269.649;198.527;61.231;;
269.999;198.527;61.231;;
269.999;198.527;61.231;;
269.999;198.527;61.769;;
270.35;198.527;61.231;;
270.701;198.527;61.769;;
270.701;198.527;61.769;;
271.403;198.527;61.769;;
271.403;198.527;61.769;;
271.403;198.527;61.769;;
271.403;198.527;61.769;;
271.403;198.527;61.769;;
271.403;198.527;62.308;;
271.403;198.527;62.308;;
271.753;198.527;62.308;;
271.753;198.527;62.308;;
272.104;198.527;62.308;;
272.104;198.527;62.308;;
272.104;198.527;62.308;;
272.104;198.527;62.308;;
272.455;198.527;62.308;;
272.806;198.527;62.308;;
272.806;198.527;62.308;;
272.806;198.527;62.847;;
272.806;198.527;62.847;;
272.806;198.527;62.308;;
272.806;198.527;62.847;;
273.156;198.527;62.847;;
273.156;198.527;63.386;;
273.156;198.527;63.386;;
273.507;198.527;63.386;;
273.507;198.527;62.847;;
273.507;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.386;;
274.209;198.527;63.925;;
274.209;198.527;63.386;;
274.209;198.527;63.925;;
274.209;198.527;63.925;;
274.56;198.527;63.925;;
274.56;198.527;63.925;;
274.91;198.527;63.925;;
274.91;198.527;63.386;;
274.91;198.527;63.925;;
275.612;198.527;64.463;;
275.612;198.527;64.463;;
275.612;198.527;64.463;;
275.963;198.527;64.463;;
275.963;198.527;64.463;;
276.313;198.527;64.463;;
277.015;198.527;64.463;;
