T;V;P;PI;
302.973;92.174;226.645;226.645;
302.973;92.335;226.645;226.0919274;
302.973;92.495;226.645;225.5445782;
302.622;92.817;225.567;224.4498983;
302.622;93.138;223.951;223.3676525;
302.271;93.941;221.796;220.6991703;
302.271;94.745;219.102;218.0816533;
300.868;95.709;216.408;215.0126743;
300.166;96.994;212.636;211.0353132;
299.465;98.279;208.864;207.1824339;
298.412;99.725;204.554;202.988899;
297.36;101.01;201.321;199.3828647;
296.659;102.135;198.627;196.3150163;
295.957;103.42;195.933;192.9086067;
295.255;104.223;193.239;190.8310119;
294.554;104.866;192.161;189.1948748;
293.852;105.669;190.545;187.1851167;
293.852;106.151;189.467;185.9962659;
293.852;106.794;187.851;184.4303355;
293.151;107.597;186.773;182.5062423;
293.151;108.24;185.157;180.9901975;
292.449;109.203;183.54;178.759674;
292.449;110.328;181.385;176.2129847;
291.748;111.292;179.769;174.0798185;
291.046;112.417;177.075;171.6457929;
291.046;113.702;174.381;168.9361551;
290.345;114.987;172.225;166.2990278;
289.643;116.433;170.07;163.4148157;
289.292;117.879;167.376;160.6153065;
288.591;119.164;165.221;158.1957636;
288.24;120.61;162.527;155.5468808;
287.538;122.056;160.372;152.9731341;
286.837;123.502;158.216;150.4715394;
286.837;124.948;156.061;148.0392644;
286.135;126.554;154.445;145.4158425;
285.434;127.839;151.751;143.3736166;
285.434;129.446;149.595;140.887954;
284.381;131.052;147.44;138.4767418;
284.031;132.498;145.285;136.3656224;
283.329;134.265;143.668;133.8597496;
282.978;135.711;141.513;131.867229;
282.627;137.318;139.897;129.7118023;
281.926;138.924;137.742;127.6173611;
281.224;140.37;136.664;125.7806779;
281.224;141.977;134.509;123.7920508;
280.523;143.583;132.353;121.8579081;
279.821;145.029;130.737;120.1603425;
279.821;146.636;129.659;118.3208017;
279.821;148.403;128.043;116.3531642;
278.769;150.17;125.888;114.4409615;
278.418;152.259;123.732;112.2488211;
277.717;153.865;122.116;110.6119818;
277.015;156.114;119.961;108.3875399;
277.015;157.721;118.344;106.8446105;
276.313;159.488;116.728;105.1910365;
275.612;161.577;115.112;103.2919781;
275.261;163.504;113.495;101.5916974;
274.91;165.432;111.879;99.93799283;
274.209;167.199;110.801;98.46248791;
274.209;168.967;109.185;97.02313434;
273.507;170.573;108.107;95.74664126;
273.156;172.019;106.491;94.6217476;
272.806;173.626;105.413;93.39793773;
272.806;175.071;104.874;92.32047996;
272.104;176.517;103.797;91.26343233;
272.104;177.963;102.719;90.22696426;
271.753;178.927;102.18;89.54713976;
271.403;180.212;101.102;88.65449533;
271.403;181.498;100.564;87.77632012;
271.403;182.622;99.486;87.02090959;
270.701;184.068;98.947;86.06535018;
270.701;185.193;97.87;85.33428564;
270.701;186.478;97.331;84.51218054;
270.35;187.602;96.792;83.80414535;
269.999;188.727;95.714;83.10560205;
269.999;189.53;95.714;82.61307799;
269.999;190.494;95.176;82.02837899;
269.999;191.297;95.176;81.54672575;
269.999;192.101;94.098;81.06930972;
269.649;193.386;93.559;80.31615483;
269.649;194.35;93.559;79.7589794;
269.649;195.635;92.482;79.02650483;
269.298;196.76;91.404;78.39464749;
269.298;197.884;91.404;77.77195179;
269.298;198.527;90.865;77.41953156;
269.298;198.527;90.865;;
269.298;198.527;91.404;;
269.298;198.687;91.404;;
269.298;198.527;91.404;;
269.649;198.527;91.404;;
268.596;198.687;91.404;;
269.999;198.527;91.404;;
269.999;198.687;91.404;;
268.596;198.527;91.943;;
268.596;198.527;91.943;;
268.596;198.687;91.943;;
268.596;198.527;92.482;;
268.596;198.527;92.482;;
268.596;198.527;92.482;;
268.596;198.527;92.482;;
268.596;198.527;92.482;;
268.947;198.527;92.482;;
268.947;198.527;92.482;;
269.298;198.527;92.482;;
269.298;198.527;92.482;;
269.649;198.687;93.02;;
269.649;198.527;93.02;;
269.649;198.527;93.02;;
269.649;198.527;93.02;;
