T;V;P;PV;
299.816;198.692;102.719;20409.44355;
301.569;194.962;106.491;20761.69834;
302.271;192.528;107.568;20709.8519;
302.271;190.744;108.646;20723.57262;
301.219;190.744;108.646;20723.57262;
301.569;188.798;109.723;20715.48295;
301.219;187.662;110.262;20691.98744;
301.569;186.527;110.801;20667.37813;
301.569;184.905;111.879;20686.9865;
301.569;183.769;112.956;20757.81116;
302.271;182.309;114.034;20789.42451;
301.569;181.498;114.034;20696.94293;
301.219;181.012;114.573;20739.08788;
301.219;180.038;115.112;20724.53426;
301.219;179.065;115.65;20708.86725;
301.569;177.93;116.728;20769.41304;
302.271;176.632;117.267;20713.10474;
301.219;176.632;117.267;20713.10474;
301.569;175.172;118.344;20730.55517;
302.271;173.874;119.422;20764.38083;
302.271;172.739;119.961;20721.94318;
301.569;171.603;121.038;20770.48391;
301.569;170.954;121.038;20691.93025;
301.569;169.981;122.116;20757.3998;
301.219;169.981;122.116;20757.3998;
301.569;168.521;123.194;20760.77607;
301.219;168.197;123.194;20720.86122;
301.569;167.386;123.732;20711.00455;
302.271;166.088;125.349;20818.96471;
301.569;165.602;125.349;20758.0451;
301.219;165.439;125.349;20737.61321;
301.569;164.304;126.427;20772.46181;
302.271;163.493;126.965;20757.88875;
302.271;161.871;128.043;20726.44845;
301.569;161.709;128.043;20705.70549;
302.271;160.086;130.198;20842.87703;
301.569;159.275;130.198;20737.28645;
301.569;158.951;130.198;20695.1023;
302.271;157.491;131.815;20759.67617;
301.569;157.167;132.353;20801.52395;
302.271;156.356;132.892;20778.46155;
302.271;155.058;133.97;20773.12026;
301.569;154.896;133.97;20751.41712;
301.219;154.896;133.97;20751.41712;
302.271;153.111;135.586;20759.70805;
301.569;153.111;135.586;20759.70805;
302.271;151.814;136.664;20747.5085;
301.569;151.814;136.664;20747.5085;
302.271;150.192;138.819;20849.50325;
302.271;150.192;138.819;20849.50325;
302.271;148.57;139.897;20784.49729;
302.271;148.407;139.897;20761.69408;
302.271;146.623;142.591;20907.12019;
302.271;145.488;143.13;20823.69744;
302.271;145.325;143.13;20800.36725;
302.271;144.352;144.207;20816.56886;
302.622;142.73;145.824;20813.45952;
302.271;142.73;145.285;20736.52805;
302.271;142.081;146.362;20795.25932;
302.271;140.135;148.518;20812.56993;
302.271;140.135;148.518;20812.56993;
302.271;139.161;149.595;20817.7898;
302.271;138.188;151.212;20895.68386;
302.271;137.539;151.751;20871.68079;
301.569;137.215;151.751;20822.51347;
302.271;136.566;152.289;20797.49957;
302.271;135.593;153.906;20868.57626;
302.271;135.593;153.367;20795.49163;
302.271;134.295;154.983;20813.44199;
301.569;134.457;154.983;20838.54923;
302.271;132.673;156.6;20776.5918;
302.271;132.673;156.061;20705.08105;
301.569;132.835;156.061;20730.36294;
301.569;132.024;157.677;20817.14825;
302.271;131.213;158.216;20759.99601;
302.271;129.915;160.372;20834.72838;
302.271;129.753;160.372;20808.74812;
302.973;127.158;164.143;20872.09559;
302.271;127.158;163.604;20803.55743;
301.569;127.158;163.604;20803.55743;
301.569;127.158;164.143;20872.09559;
302.271;125.86;164.682;20726.87652;
301.569;125.86;165.221;20794.71506;
302.271;124.238;167.915;20861.42377;
302.622;122.616;170.07;20853.30312;
302.271;122.616;170.07;20853.30312;
301.569;122.616;169.531;20787.2131;
302.271;121.48;171.148;20791.05904;
302.622;120.183;173.303;20828.07445;
302.271;120.345;172.764;20791.28358;
302.271;119.047;174.919;20823.58219;
302.271;119.047;174.381;20759.53491;
303.674;116.776;178.691;20866.82022;
302.622;116.776;178.691;20866.82022;
302.271;116.776;178.152;20803.87795;
301.569;116.776;178.152;20803.87795;
