P	V
2976	880
2952	880
2976	1000
2952	1000
2960	1000
2944	1000
2960	1080
2944	1080
2944	1120
2928	1080
2944	1160
2928	1200
2928	1240
2912	1240
2920	1280
2904	1320
2896	1320
2888	1320
2896	1400
2888	1400
2880	1440
2864	1440
2880	1520
2864	1480
2864	1560
2848	1560
2864	1640
2848	1600
2840	1680
2824	1640
2840	1760
2824	1760
2816	1760
2800	1800
2816	1880
2800	1880
2792	1880
2768	1920
2792	2000
2768	2000
2768	1960
2752	2040
2768	2120
2752	2120
2736	2120
2728	2160
2744	2240
2720	2240
2696	2280
2712	2360
2696	2360
2672	2440
2688	2520
2664	2520
2664	2560
2640	2560
2656	2600
2640	2600
2632	2680
2616	2680
2632	2760
2608	2760
2608	2840
2592	2800
2608	2880
2584	2880
2576	2920
2560	2920
2584	3000
2568	3040
2560	3040
2536	3040
2560	3120
2536	3200
2528	3160
2512	3160
2528	3240
2512	3320
2504	3280
2488	3280
2504	3400
2480	3400
2456	3400
2472	3520
2464	3480
2456	3480
2432	3480
2456	3640
2432	3640
2408	3640
2424	3720
2408	3720
2400	3720
2384	3760
2400	3840
2376	3800
2384	3800
2360	3880
2376	3920
2360	3920
2360	4000
2336	3960
2328	4040
2312	4040
2328	4160
2304	4120
2312	4120
2280	4160
2304	4240
2280	4200
2256	4200
2272	4320
2256	4320
2248	4320
2224	4320
2248	4400
2224	4440
2216	4440
2208	4440
2224	4480
2208	4480
2176	4480
2200	4560
2184	4560
2176	4560
2152	4600
2176	4640
2152	4640
2160	4640
2136	4640
2152	4680
2128	4680
2136	4680
2120	4680
2128	4760
2112	4720
2120	4760
2096	4720
2112	4800
2096	4800
2088	4800
2096	4840
2080	4840
2072	4840
2056	4840
2080	4880
2064	4840
2064	4920
2048	4880
2056	4920
2048	4920
2040	4920
2048	4960
2040	4960
2032	4960
2016	4920
2032	5000
2016	4960
2024	5000
2000	4960
2016	5000
2008	5000
1992	5000
1984	4960
1984	5000
1976	4960
1976	5000
1968	5000
1968	4960
1960	4960
1960	4920
1952	4920
1952	4840
1952	4880
1944	4840
1936	4800
1952	4800
1936	4760
1944	4800
1936	4720
1928	4680
1952	4760
1944	4680
1936	4680
1936	4600
1952	4640
1944	4600
1928	4560
1936	4640
1944	4560
1936	4560
1936	4480
1952	4520
1936	4440
1944	4440
1936	4360
1952	4440
1944	4360
1944	4320
1952	4360
1952	4240
1944	4240
1952	4160
1952	4280
1960	4160
1960	4040
1968	4160
1960	3960
1968	4040
1976	3960
1968	3920
1968	3800
1984	3920
1984	3840
1984	3800
1976	3720
1992	3840
1984	3720
1992	3640
1992	3560
2000	3680
2000	3560
2000	3480
2016	3560
2016	3480
2016	3400
2024	3320
2032	3400
2024	3280
2032	3280
2032	3160
2048	3240
2048	3120
2056	3000
2064	3120
2064	3000
2064	2880
2088	2920
2088	2840
2096	2680
2112	2840
2112	2680
2120	2560
2144	2640
2136	2520
2144	2520
2144	2360
2160	2520
2168	2400
2168	2360
2176	2200
2192	2320
2192	2200
2200	2200
2200	2040
2216	2200
2224	2040
2224	1960
2232	1880
2248	2000
2256	1880
2256	1720
2272	1880
2280	1720
2280	1640
2288	1560
2312	1680
2312	1560
2312	1440
2344	1560
2336	1440
2344	1400
2344	1280
2368	1400
2368	1280
2376	1280
2368	1160
2400	1280
2392	1160
2400	1120
2408	1000
2432	1120
2432	1000
2440	1000
2440	880
2464	1000
2464	880
2464	840
2464	760
2496	840
2496	760
2496	640
2512	760
2520	640
2528	640
2528	560
2560	640
2560	560
2560	600
2560	440
2592	520
2592	480
2592	440
2592	360
2616	440
2624	360
2616	360
2624	320
2640	360
2640	280
2648	280
2656	280
2680	280
2680	240
2688	200
2704	240
2712	160
2720	160
2744	200
2736	120
2736	160
2744	120
2768	120
2760	80
2768	80
2792	120
2792	80
2792	40
2800	0
2824	40
2832	0
2848	40
2848	0
2856	0
2872	40
2864	0
2880	0
2880	-40
2896	0
2904	0
2920	0
2944	0
2936	0
2960	40
2960	0
2952	0
2976	40
2976	0
2968	40
2984	80
2992	40
2984	120
3000	120
3000	80
3008	160
3008	200
3008	280
3008	320
3008	360
3008	400
3008	480
3008	520
3008	560
3008	600
3000	640
3008	640
3008	680
2992	760
3000	760
2984	760
2992	800
2984	840
2976	840
2984	920
2976	920
2960	920
2944	1040
2928	1160
2944	1240
2928	1320
2912	1320
2904	1440
2888	1440
2872	1440
2888	1520
2848	1680
2824	1680
2848	1760
2832	1760
2816	1800
2776	1920
2720	2120
2752	2240
2696	2240
2720	2360
2696	2400
2664	2360
2696	2520
2672	2520
2640	2520
2664	2640
2640	2640
2624	2600
2640	2760
2616	2760
2600	2760
2616	2880
2600	2880
2592	2880
2568	2880
2592	3000
2568	3000
2560	3000
2544	3000
2552	3120
2536	3080
2512	3120
2536	3240
2520	3200
2512	3200
2496	3280
2504	3360
2488	3360
2488	3400
2464	3400
2480	3480
2464	3520
2440	3480
2464	3560
2440	3640
2416	3600
2432	3720
2384	3720
2408	3840
2384	3840
2368	3840
2368	3880
2360	3960
2360	4040
2336	4040
2336	4120
2312	4160
2304	4160
2272	4200
2280	4320
2256	4280
2232	4320
2224	4400
2232	4440
2208	4560
2160	4560
2160	4680
2136	4720
2112	4760
2120	4800
2104	4760
2048	4840
2024	4920
2024	4960
2000	5000
1944	4880
1944	4640
1936	4520
1944	4480
1936	4280
