T	P	V
1	2008	5000
2	1992	5000
3	1992	5000
4	1984	4960
5	1992	5000
6	1984	4960
7	1984	5000
8	1976	4960
9	1984	5000
10	1976	5000
11	1968	5000
12	1968	4960
13	1976	5000
14	1960	4960
15	1968	4960
16	1960	4920
17	1968	5000
18	1960	4920
19	1960	4920
20	1952	4920
21	1960	4960
22	1952	4920
23	1960	4920
24	1952	4840
25	1960	4920
26	1952	4920
27	1952	4880
28	1944	4840
29	1952	4880
30	1952	4840
31	1944	4840
32	1936	4800
33	1952	4840
34	1952	4800
35	1936	4800
36	1936	4760
37	1944	4800
38	1936	4720
39	1936	4760
40	1928	4680
41	1952	4760
42	1944	4680
43	1936	4680
44	1936	4600
45	1952	4640
46	1944	4600
47	1936	4600
48	1928	4560
49	1936	4640
50	1944	4560
51	1936	4560
52	1936	4480
53	1952	4520
54	1936	4440
55	1944	4440
56	1936	4360
57	1952	4440
58	1944	4360
59	1944	4360
60	1944	4320
61	1952	4360
62	1952	4240
63	1944	4240
64	1952	4160
65	1952	4280
66	1960	4160
67	1952	4160
68	1960	4040
69	1968	4160
70	1960	4040
71	1960	4040
72	1960	3960
73	1968	4040
74	1976	3960
75	1968	3920
76	1968	3800
77	1984	3920
78	1984	3840
79	1984	3800
80	1976	3720
81	1992	3840
82	1984	3720
83	1992	3640
84	1992	3560
85	2000	3680
86	2000	3560
87	2000	3560
88	2000	3480
89	2016	3560
90	2016	3480
91	2016	3400
92	2024	3320
93	2032	3400
94	2024	3280
95	2032	3280
96	2032	3160
97	2048	3240
98	2048	3120
99	2048	3120
100	2056	3000
101	2064	3120
102	2064	3000
103	2064	3000
104	2064	2880
105	2088	2920
106	2088	2840
107	2088	2840
108	2096	2680
109	2112	2840
110	2112	2680
111	2112	2680
112	2120	2560
113	2144	2640
114	2136	2520
115	2144	2520
116	2144	2360
117	2160	2520
118	2168	2400
119	2168	2360
120	2176	2200
121	2192	2320
122	2192	2200
123	2200	2200
124	2200	2040
125	2216	2200
126	2224	2040
127	2224	1960
128	2232	1880
129	2248	2000
130	2256	1880
131	2256	1880
132	2256	1720
133	2272	1880
134	2280	1720
135	2280	1640
136	2288	1560
137	2312	1680
138	2312	1560
139	2312	1560
140	2312	1440
141	2344	1560
142	2336	1440
143	2344	1400
144	2344	1280
145	2368	1400
146	2368	1280
147	2376	1280
148	2368	1160
149	2400	1280
150	2392	1160
151	2400	1120
152	2408	1000
153	2432	1120
154	2432	1000
155	2440	1000
156	2440	880
157	2464	1000
158	2464	880
159	2464	840
160	2464	760
161	2496	840
162	2496	760
163	2496	760
164	2496	640
165	2512	760
166	2520	640
167	2528	640
168	2528	560
169	2560	640
170	2560	560
171	2560	600
172	2560	440
173	2592	520
174	2592	480
175	2592	440
176	2592	360
177	2616	440
178	2624	360
179	2616	360
180	2624	320
181	2640	360
182	2640	280
183	2648	280
184	2656	280
185	2680	280
186	2680	240
187	2680	240
188	2688	200
189	2704	240
190	2712	160
191	2712	160
192	2720	160
193	2744	200
194	2736	120
195	2736	160
196	2744	120
197	2768	120
198	2760	80
199	2768	120
200	2768	80
201	2792	120
202	2792	80
203	2792	40
204	2800	0
205	2824	40
206	2824	40
207	2824	40
208	2832	0
209	2848	40
210	2848	0
211	2848	0
212	2856	0
213	2872	40
214	2864	0
215	2880	0
216	2880	-40
217	2896	0
218	2896	0
219	2896	0
220	2904	0
221	2920	0
222	2920	0
223	2920	0
224	2920	0
225	2944	0
226	2944	0
227	2936	0
228	2936	0
229	2960	40
230	2960	0
231	2960	40
232	2952	0
233	2976	40
234	2976	0
235	2968	40
236	2976	40
237	2984	80
238	2992	40
239	2984	120
240	2984	80
241	3000	120
242	3000	80
243	3000	120
244	3000	120
245	3008	160
246	3008	160
247	3008	160
248	3008	160
249	3008	200
250	3008	200
251	3008	200
252	3008	200
253	3008	280
254	3008	280
255	3008	280
256	3008	280
257	3008	320
258	3008	320
259	3008	320
260	3008	320
261	3008	360
262	3008	400
263	3008	360
264	3008	400
265	3008	480
266	3008	480
267	3008	480
268	3008	480
269	3008	520
270	3008	560
271	3008	600
272	3008	560
273	3008	600
274	3000	640
275	3008	640
276	3000	640
277	3008	680
278	2992	760
279	3000	760
280	2984	760
281	2992	800
282	2984	760
283	2984	840
284	2976	840
285	2984	920
286	2976	880
287	2976	920
288	2960	920
289	2976	1000
290	2960	1000
291	2960	1000
292	2944	1040
293	2960	1080
294	2944	1080
295	2944	1080
296	2928	1160
297	2944	1240
298	2928	1200
299	2928	1200
300	2912	1240
301	2928	1320
302	2912	1320
303	2904	1320
304	2888	1320
305	2904	1440
306	2888	1440
307	2888	1440
